Name,Locality,Popularity,Price,Rating,Bike_Station_Coordinates,bikes,Place_Type
Enriqueta's Sandwich Shop,Miami,0.989291773,1.0,8.8,"25.8025414,-80.1948694",7,Restaurant
Midtown Creamery,Miami,0.960612807,1.0,8.6,"25.8025414,-80.1948694",7,Restaurant
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.775986,-80.18865",3,Restaurant
Pollos Y Jarras,Miami,0.962220809,2.0,8.5,"25.775986,-80.18865",3,Restaurant
Cafe Bastille,Miami,0.969377297,2.0,8.6,"25.775986,-80.18865",3,Café
Jaguar Sun,Miami,0.969730704,3.0,8.3,"25.775986,-80.18865",3,Bar
Il Gabbiano,Miami,0.972133871,4.0,9.3,"25.775986,-80.18865",3,Restaurant
Bubba Gump Shrimp Co,Miami,0.992401753,3.0,8.2,"25.775986,-80.18865",3,Restaurant
Novikov,Miami,0.981181086,2.0,8.8,"25.775986,-80.18865",3,Restaurant
Hard Rock Cafe,Miami,0.991518236,3.0,8.3,"25.775986,-80.18865",3,Restaurant
Soya E Pomodoro,Miami,0.954392847,3.0,8.0,"25.775986,-80.18865",3,Restaurant
Vero Italian,Miami,0.933241448,4.0,8.3,"25.775986,-80.18865",3,Restaurant
Jamon Iberico Pata Negra,Miami,0.978618886,2.0,9.0,"25.775019,-80.196429",2,Restaurant
Vero Italian,Miami,0.933241448,4.0,8.3,"25.775019,-80.196429",2,Restaurant
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.775019,-80.196429",2,Restaurant
The Capital Grille,Miami,0.965136415,3.0,9.0,"25.775019,-80.196429",2,Restaurant
Zuma Miami,Miami,0.972699321,4.0,9.1,"25.775019,-80.196429",2,Restaurant
Cafe Bastille,Miami,0.969377297,2.0,8.6,"25.775019,-80.196429",2,Café
Casa Tua Cucina,Miami,0.993408962,2.0,9.0,"25.775019,-80.196429",2,Bar
The River Oyster Bar,Miami,0.973035058,3.0,9.0,"25.775019,-80.196429",2,Restaurant
Soya E Pomodoro,Miami,0.954392847,3.0,8.0,"25.775019,-80.196429",2,Restaurant
Pollos Y Jarras,Miami,0.962220809,2.0,8.5,"25.775019,-80.196429",2,Restaurant
Vice City Bean,Miami,0.985474979,1.0,9.2,"25.7926049,-80.1936645",0,Café
Kush,Miami,0.989556828,2.0,9.1,"25.7926049,-80.1936645",0,Restaurant
Mignonette,Miami,0.947483743,3.0,8.8,"25.7926049,-80.1936645",0,Restaurant
Pizza Pazza,Miami,0.953756715,2.0,8.6,"25.7926049,-80.1936645",0,Restaurant
The Daily Creative Food Co,Miami,0.980686316,2.0,8.8,"25.7926049,-80.1936645",0,Restaurant
Bunbury,Miami,0.990016257,2.0,8.4,"25.7926049,-80.1936645",0,Bar
The Salty Donut,Miami,0.982789087,1.0,9.1,"25.7926049,-80.1936645",0,Café
Mister 01,Miami,0.982364999,1.0,8.7,"25.7926049,-80.1936645",0,Bar
All Day,Miami,0.969607012,1.0,9.1,"25.7926049,-80.1936645",0,Café
Doggi's Arepa Bar,Miami,0.95250212,2.0,8.8,"25.747976,-80.210054",3,Restaurant
Bocas Grill Brickell,Miami Financial District,0.983637263,2.0,8.7,"25.747976,-80.210054",3,Bar
La Boulangerie Boul'Mich,Miami,0.951353548,3.0,7.8,"25.747976,-80.210054",3,Bakery
Neme Gastro Bar,Miami,0.946070116,3.0,7.1,"25.747976,-80.210054",3,Bar
Mykonos Greek Restaurant,Miami,0.928488126,2.0,6.6,"25.747976,-80.210054",3,Restaurant
La Carreta,Miami,0.975402884,2.0,5.9,"25.747976,-80.210054",3,Restaurant
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.777171,-80.186888",0,Restaurant
Bubba Gump Shrimp Co,Miami,0.992401753,3.0,8.2,"25.777171,-80.186888",0,Restaurant
Pollos Y Jarras,Miami,0.962220809,2.0,8.5,"25.777171,-80.186888",0,Restaurant
Hard Rock Cafe,Miami,0.991518236,3.0,8.3,"25.777171,-80.186888",0,Restaurant
Jaguar Sun,Miami,0.969730704,3.0,8.3,"25.777171,-80.186888",0,Bar
Il Gabbiano,Miami,0.972133871,4.0,9.3,"25.777171,-80.186888",0,Restaurant
Cafe Bastille,Miami,0.969377297,2.0,8.6,"25.777171,-80.186888",0,Café
Novikov,Miami,0.981181086,2.0,8.8,"25.777171,-80.186888",0,Restaurant
Five Guys Burgers & Fries,Miami,0.976498445,1.0,7.6,"25.777171,-80.186888",0,Restaurant
Zuma Miami,Miami,0.972699321,4.0,9.1,"25.777171,-80.186888",0,Restaurant
Il Gabbiano,Miami,0.972133871,4.0,9.3,"25.7729842,-80.1860208",3,Restaurant
Novikov,Miami,0.981181086,2.0,8.8,"25.7729842,-80.1860208",3,Restaurant
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.7729842,-80.1860208",3,Restaurant
Cafe Bastille,Miami,0.969377297,2.0,8.6,"25.7729842,-80.1860208",3,Café
Zuma Miami,Miami,0.972699321,4.0,9.1,"25.7729842,-80.1860208",3,Restaurant
Cipriani Miami Downtow,Miami,0.98604043,4.0,8.7,"25.7729842,-80.1860208",3,Restaurant
Pollos Y Jarras,Miami,0.962220809,2.0,8.5,"25.7729842,-80.1860208",3,Restaurant
The Capital Grille,Miami,0.965136415,3.0,9.0,"25.7729842,-80.1860208",3,Restaurant
Area 31,Miami,0.968264066,3.0,8.3,"25.7729842,-80.1860208",3,Restaurant
Cantina La Veinte,Miami,0.983743285,3.0,8.5,"25.7729842,-80.1860208",3,Restaurant
All Day,Miami,0.969607012,1.0,9.1,"25.782258,-80.189191",5,Café
The Corner,Miami,0.975084818,2.0,8.8,"25.782258,-80.189191",5,Bar
Verde,Miami,0.976586797,3.0,8.7,"25.782258,-80.189191",5,Restaurant
Cvi.Che 105,Miami,0.979555414,2.0,9.1,"25.782258,-80.189191",5,Restaurant
Jaguar Sun,Miami,0.969730704,3.0,8.3,"25.782258,-80.189191",5,Bar
Bubba Gump Shrimp Co,Miami,0.992401753,3.0,8.2,"25.782258,-80.189191",5,Restaurant
Pollos Y Jarras,Miami,0.962220809,2.0,8.5,"25.782258,-80.189191",5,Restaurant
Hard Rock Cafe,Miami,0.991518236,3.0,8.3,"25.782258,-80.189191",5,Restaurant
Bunbury,Miami,0.990016257,2.0,8.4,"25.782258,-80.189191",5,Bar
Verde,Miami,0.976586797,3.0,8.7,"25.784943,-80.18683",7,Restaurant
All Day,Miami,0.969607012,1.0,9.1,"25.784943,-80.18683",7,Café
The Corner,Miami,0.975084818,2.0,8.8,"25.784943,-80.18683",7,Bar
Bunbury,Miami,0.990016257,2.0,8.4,"25.784943,-80.18683",7,Bar
Bubba Gump Shrimp Co,Miami,0.992401753,3.0,8.2,"25.784943,-80.18683",7,Restaurant
Hard Rock Cafe,Miami,0.991518236,3.0,8.3,"25.784943,-80.18683",7,Restaurant
Mike's At Venetia,Miami Beach,0.967168504,1.0,7.9,"25.784943,-80.18683",7,Bar
Jaguar Sun,Miami,0.969730704,3.0,8.3,"25.784943,-80.18683",7,Bar
Pura Vida,Miami,0.99072307,1.0,8.1,"25.784943,-80.18683",7,Café
Casa Tua Cucina,Miami,0.993408962,2.0,9.0,"25.770155,-80.198036",1,Bar
Stanzione 87,Miami,0.956442607,2.0,8.8,"25.770155,-80.198036",1,Restaurant
Jamon Iberico Pata Negra,Miami,0.978618886,2.0,9.0,"25.770155,-80.198036",1,Restaurant
Blackbird Ordinary,Miami,0.989503817,2.0,8.6,"25.770155,-80.198036",1,Bar
Sugar,Miami,0.996465932,2.0,9.1,"25.770155,-80.198036",1,Bar
The River Oyster Bar,Miami,0.973035058,3.0,9.0,"25.770155,-80.198036",1,Restaurant
La Sandwicherie,Miami,0.991376873,1.0,8.6,"25.770155,-80.198036",1,Restaurant
B Bistro + Bakery,Miami,0.977965083,1.0,8.9,"25.770155,-80.198036",1,Bakery
The Capital Grille,Miami,0.965136415,3.0,9.0,"25.770155,-80.198036",1,Restaurant
Zuma Miami,Miami,0.972699321,4.0,9.1,"25.770155,-80.198036",1,Restaurant
PM Fish & Steak House,Miami,0.967592593,4.0,9.0,"25.755818,-80.196467",6,Restaurant
Gyu-Kaku Japanese BBQ,Miami,0.983937659,2.0,8.9,"25.755818,-80.196467",6,Restaurant
Barsecco,Miami,0.979643766,2.0,8.6,"25.755818,-80.196467",6,Restaurant
Tutto Pizza,Miami,0.919387899,1.0,8.6,"25.755818,-80.196467",6,Restaurant
LPM Restaurant & Bar,Miami,0.980650975,4.0,9.0,"25.755818,-80.196467",6,Restaurant
Novecento,Miami,0.969660023,2.0,8.4,"25.755818,-80.196467",6,Restaurant
My Ceviche,Miami,0.943949675,2.0,8.3,"25.755818,-80.196467",6,Restaurant
La Estacion Cafe,Miami,0.955364716,1.0,8.1,"25.755818,-80.196467",6,Café
Smith & Wollensky - Miami Beach,Miami Beach,0.985988984,3.0,8.7,"25.765327,-80.131324",20,Restaurant
The Lobster Shack,Miami Beach,0.990337231,3.0,8.6,"25.765327,-80.131324",20,Restaurant
Carbone,Miami Beach,0.989274326,2.0,9.0,"25.765327,-80.131324",20,Restaurant
Nikki Beach,Miami Beach,0.998888782,3.0,8.6,"25.765327,-80.131324",20,Restaurant
Joe's Stone Crab,Miami Beach,0.994782105,4.0,9.0,"25.765327,-80.131324",20,Restaurant
Call Me Gaby,Miami Beach,0.969127452,2.0,9.0,"25.765327,-80.131324",20,Restaurant
Santorini by Georgios,Miami Beach,0.982462074,2.0,8.4,"25.765327,-80.131324",20,Restaurant
Prime Italian,Miami Beach,0.988936129,4.0,8.5,"25.765327,-80.131324",20,Restaurant
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.765327,-80.131324",20,Restaurant
Joe's Take-Away,Miami Beach,0.982848584,2.0,8.5,"25.765327,-80.131324",20,Restaurant
Joe's Stone Crab,Miami Beach,0.994782105,4.0,9.0,"25.767379,-80.135871",5,Restaurant
Call Me Gaby,Miami Beach,0.969127452,2.0,9.0,"25.767379,-80.135871",5,Restaurant
Carbone,Miami Beach,0.989274326,2.0,9.0,"25.767379,-80.135871",5,Restaurant
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.767379,-80.135871",5,Restaurant
Smith & Wollensky - Miami Beach,Miami Beach,0.985988984,3.0,8.7,"25.767379,-80.135871",5,Restaurant
Joe's Take-Away,Miami Beach,0.982848584,2.0,8.5,"25.767379,-80.135871",5,Restaurant
Fogo De Chao,Miami Beach,0.971977969,3.0,8.5,"25.767379,-80.135871",5,Restaurant
The Lobster Shack,Miami Beach,0.990337231,3.0,8.6,"25.767379,-80.135871",5,Restaurant
Prima Classe,Miami Beach,0.955502947,2.0,8.4,"25.767379,-80.135871",5,Café
PLANTA South Beach,Miami Beach,0.959078172,3.0,8.1,"25.767379,-80.135871",5,Restaurant
Carbone,Miami Beach,0.989274326,2.0,9.0,"25.769435,-80.133049",9,Restaurant
Prime Italian,Miami Beach,0.988936129,4.0,8.5,"25.769435,-80.133049",9,Restaurant
Nikki Beach,Miami Beach,0.998888782,3.0,8.6,"25.769435,-80.133049",9,Restaurant
The Lobster Shack,Miami Beach,0.990337231,3.0,8.6,"25.769435,-80.133049",9,Restaurant
Prime One Twelve,Miami Beach,0.978741907,4.0,8.3,"25.769435,-80.133049",9,Restaurant
Joe's Stone Crab,Miami Beach,0.994782105,4.0,9.0,"25.769435,-80.133049",9,Restaurant
Santorini by Georgios,Miami Beach,0.982462074,2.0,8.4,"25.769435,-80.133049",9,Restaurant
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.769435,-80.133049",9,Restaurant
Ted's Hideaway,Miami Beach,0.970190357,1.0,8.5,"25.769435,-80.133049",9,Bar
Call Me Gaby,Miami Beach,0.969127452,2.0,9.0,"25.769435,-80.133049",9,Restaurant
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.769775,-80.13739",7,Restaurant
Fogo De Chao,Miami Beach,0.971977969,3.0,8.5,"25.769775,-80.13739",7,Restaurant
Call Me Gaby,Miami Beach,0.969127452,2.0,9.0,"25.769775,-80.13739",7,Restaurant
Prima Classe,Miami Beach,0.955502947,2.0,8.4,"25.769775,-80.13739",7,Café
Joe's Stone Crab,Miami Beach,0.994782105,4.0,9.0,"25.769775,-80.13739",7,Restaurant
Carbone,Miami Beach,0.989274326,2.0,9.0,"25.769775,-80.13739",7,Restaurant
Joe's Take-Away,Miami Beach,0.982848584,2.0,8.5,"25.769775,-80.13739",7,Restaurant
PLANTA South Beach,Miami Beach,0.959078172,3.0,8.1,"25.769775,-80.13739",7,Restaurant
The Scape Goat,Miami Beach,0.96419944,3.0,8.2,"25.769775,-80.13739",7,Bar
Ted's Hideaway,Miami Beach,0.970190357,1.0,8.5,"25.7711036,-80.1327318",14,Bar
Carbone,Miami Beach,0.989274326,2.0,9.0,"25.7711036,-80.1327318",14,Restaurant
Prime Italian,Miami Beach,0.988936129,4.0,8.5,"25.7711036,-80.1327318",14,Restaurant
The Local House,Miami Beach,0.986133926,2.0,8.7,"25.7711036,-80.1327318",14,Restaurant
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.7711036,-80.1327318",14,Restaurant
Prime One Twelve,Miami Beach,0.978741907,4.0,8.3,"25.7711036,-80.1327318",14,Restaurant
Santorini by Georgios,Miami Beach,0.982462074,2.0,8.4,"25.7711036,-80.1327318",14,Restaurant
Joe's Stone Crab,Miami Beach,0.994782105,4.0,9.0,"25.7711036,-80.1327318",14,Restaurant
Nikki Beach,Miami Beach,0.998888782,3.0,8.6,"25.7711036,-80.1327318",14,Restaurant
Call Me Gaby,Miami Beach,0.969127452,2.0,9.0,"25.7711036,-80.1327318",14,Restaurant
Ted's Hideaway,Miami Beach,0.970190357,1.0,8.5,"25.770722,-80.133801",7,Bar
Carbone,Miami Beach,0.989274326,2.0,9.0,"25.770722,-80.133801",7,Restaurant
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.770722,-80.133801",7,Restaurant
Joe's Stone Crab,Miami Beach,0.994782105,4.0,9.0,"25.770722,-80.133801",7,Restaurant
Call Me Gaby,Miami Beach,0.969127452,2.0,9.0,"25.770722,-80.133801",7,Restaurant
Prime Italian,Miami Beach,0.988936129,4.0,8.5,"25.770722,-80.133801",7,Restaurant
Prime One Twelve,Miami Beach,0.978741907,4.0,8.3,"25.770722,-80.133801",7,Restaurant
Big Pink,Miami Beach,0.991061938,2.0,8.0,"25.770722,-80.133801",7,Restaurant
The Scape Goat,Miami Beach,0.96419944,3.0,8.2,"25.770722,-80.133801",7,Bar
Joe's Take-Away,Miami Beach,0.982848584,2.0,8.5,"25.770722,-80.133801",7,Restaurant
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.772132,-80.138313",12,Restaurant
Call Me Gaby,Miami Beach,0.969127452,2.0,9.0,"25.772132,-80.138313",12,Restaurant
Fogo De Chao,Miami Beach,0.971977969,3.0,8.5,"25.772132,-80.138313",12,Restaurant
Joe's Stone Crab,Miami Beach,0.994782105,4.0,9.0,"25.772132,-80.138313",12,Restaurant
Prima Classe,Miami Beach,0.955502947,2.0,8.4,"25.772132,-80.138313",12,Café
Monty's Sunset,Miami Beach,0.991448449,2.0,8.0,"25.772132,-80.138313",12,Restaurant
Carbone,Miami Beach,0.989274326,2.0,9.0,"25.772132,-80.138313",12,Restaurant
Joe's Take-Away,Miami Beach,0.982848584,2.0,8.5,"25.772132,-80.138313",12,Restaurant
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.772132,-80.138313",12,Restaurant
Ted's Hideaway,Miami Beach,0.970190357,1.0,8.5,"25.772132,-80.138313",12,Bar
Macchialina Taverna Rustica,Miami Beach,0.983573292,2.0,9.2,"25.773511,-80.139686",14,Restaurant
Monty's Sunset,Miami Beach,0.991448449,2.0,8.0,"25.773511,-80.139686",14,Restaurant
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.773511,-80.139686",14,Restaurant
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.773511,-80.139686",14,Restaurant
Call Me Gaby,Miami Beach,0.969127452,2.0,9.0,"25.773511,-80.139686",14,Restaurant
Joe's Stone Crab,Miami Beach,0.994782105,4.0,9.0,"25.773511,-80.139686",14,Restaurant
Fogo De Chao,Miami Beach,0.971977969,3.0,8.5,"25.773511,-80.139686",14,Restaurant
Prima Classe,Miami Beach,0.955502947,2.0,8.4,"25.773511,-80.139686",14,Café
Carbone,Miami Beach,0.989274326,2.0,9.0,"25.773511,-80.139686",14,Restaurant
Oliver's Bistro,Miami Beach,0.965358972,2.0,8.6,"25.773511,-80.139686",14,Restaurant
The Local House,Miami Beach,0.986133926,2.0,8.7,"25.772677,-80.134644",9,Restaurant
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.772677,-80.134644",9,Restaurant
Ted's Hideaway,Miami Beach,0.970190357,1.0,8.5,"25.772677,-80.134644",9,Bar
Gelato-go South Beach,Miami Beach,0.976181274,1.0,8.7,"25.772677,-80.134644",9,Café
Carbone,Miami Beach,0.989274326,2.0,9.0,"25.772677,-80.134644",9,Restaurant
Fratelli La Bufala - Miami Beach,Miami Beach,0.969562277,2.0,8.2,"25.772677,-80.134644",9,Restaurant
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.772677,-80.134644",9,Restaurant
Joe's Stone Crab,Miami Beach,0.994782105,4.0,9.0,"25.772677,-80.134644",9,Restaurant
Call Me Gaby,Miami Beach,0.969127452,2.0,9.0,"25.772677,-80.134644",9,Restaurant
Fogo De Chao,Miami Beach,0.971977969,3.0,8.5,"25.772677,-80.134644",9,Restaurant
Gelato-go South Beach,Miami Beach,0.976181274,1.0,8.7,"25.774917,-80.131584",15,Café
The Local House,Miami Beach,0.986133926,2.0,8.7,"25.774917,-80.131584",15,Restaurant
Puerto Sagua Restaurant,Miami Beach,0.996328148,2.0,8.6,"25.774917,-80.131584",15,Restaurant
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.774917,-80.131584",15,Restaurant
Fratelli La Bufala - Miami Beach,Miami Beach,0.969562277,2.0,8.2,"25.774917,-80.131584",15,Restaurant
Rosetta Bakery,Miami Beach,0.96985216,1.0,9.0,"25.774917,-80.131584",15,Bakery
CJ's Crab Shack,Miami Beach,0.994878732,2.0,7.7,"25.774917,-80.131584",15,Restaurant
A Fish Called Avalon,Miami Beach,0.974200406,4.0,8.0,"25.774917,-80.131584",15,Restaurant
Ted's Hideaway,Miami Beach,0.970190357,1.0,8.5,"25.774917,-80.131584",15,Bar
Carbone,Miami Beach,0.989274326,2.0,9.0,"25.774917,-80.131584",15,Restaurant
Puerto Sagua Restaurant,Miami Beach,0.996328148,2.0,8.6,"25.77679,-80.130943",1,Restaurant
Rosetta Bakery,Miami Beach,0.96985216,1.0,9.0,"25.77679,-80.130943",1,Bakery
Gelato-go South Beach,Miami Beach,0.976181274,1.0,8.7,"25.77679,-80.130943",1,Café
A Fish Called Avalon,Miami Beach,0.974200406,4.0,8.0,"25.77679,-80.130943",1,Restaurant
Mango's Tropical Cafe,Miami Beach,0.998212388,2.0,8.4,"25.77679,-80.130943",1,Restaurant
The Local House,Miami Beach,0.986133926,2.0,8.7,"25.77679,-80.130943",1,Restaurant
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.77679,-80.130943",1,Restaurant
News Cafe,Miami Beach,0.990288917,2.0,7.8,"25.77679,-80.130943",1,Café
CJ's Crab Shack,Miami Beach,0.994878732,2.0,7.7,"25.77679,-80.130943",1,Restaurant
Rosetta Bakery,Miami Beach,0.96985216,1.0,9.0,"25.779172,-80.130828",7,Bakery
Mango's Tropical Cafe,Miami Beach,0.998212388,2.0,8.4,"25.779172,-80.130828",7,Restaurant
Puerto Sagua Restaurant,Miami Beach,0.996328148,2.0,8.6,"25.779172,-80.130828",7,Restaurant
News Cafe,Miami Beach,0.990288917,2.0,7.8,"25.779172,-80.130828",7,Café
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.779172,-80.130828",7,Restaurant
Havana Vieja,Miami Beach,0.977002609,2.0,8.0,"25.779172,-80.130828",7,Bar
Gelato-go South Beach,Miami Beach,0.976181274,1.0,8.7,"25.779172,-80.130828",7,Café
Shepherd Artisan Coffee,Miami Beach,0.986472123,1.0,7.8,"25.779172,-80.130828",7,Café
11th Street Diner,Miami Beach,0.986906948,2.0,8.1,"25.779172,-80.130828",7,Restaurant
Rosetta Bakery,Miami Beach,0.96985216,1.0,9.0,"25.780759,-80.129913",6,Bakery
Mango's Tropical Cafe,Miami Beach,0.998212388,2.0,8.4,"25.780759,-80.129913",6,Restaurant
La Sandwicherie,Miami Beach,0.988163108,1.0,9.1,"25.780759,-80.129913",6,Restaurant
Puerto Sagua Restaurant,Miami Beach,0.996328148,2.0,8.6,"25.780759,-80.129913",6,Restaurant
11th Street Diner,Miami Beach,0.986906948,2.0,8.1,"25.780759,-80.129913",6,Restaurant
Taquiza,Miami Beach,0.982751957,1.0,8.6,"25.780759,-80.129913",6,Bar
Naked Taco,Miami Beach,0.986327181,2.0,7.8,"25.780759,-80.129913",6,Restaurant
Gianni's,Miami Beach,0.998357329,2.0,7.7,"25.780759,-80.129913",6,Restaurant
Rosetta Bakery,Miami Beach,0.96985216,1.0,9.0,"25.78247,-80.129882",1,Bakery
La Sandwicherie,Miami Beach,0.988163108,1.0,9.1,"25.78247,-80.129882",1,Restaurant
Taquiza,Miami Beach,0.982751957,1.0,8.6,"25.78247,-80.129882",1,Bar
Pane & Vino,Miami Beach,0.96835443,2.0,9.1,"25.78247,-80.129882",1,Restaurant
Mango's Tropical Cafe,Miami Beach,0.998212388,2.0,8.4,"25.78247,-80.129882",1,Restaurant
11th Street Diner,Miami Beach,0.986906948,2.0,8.1,"25.78247,-80.129882",1,Restaurant
Naked Taco,Miami Beach,0.986327181,2.0,7.8,"25.78247,-80.129882",1,Restaurant
Gianni's,Miami Beach,0.998357329,2.0,7.7,"25.78247,-80.129882",1,Restaurant
La Sandwicherie,Miami Beach,0.988163108,1.0,9.1,"25.785034,-80.129455",6,Restaurant
Taquiza,Miami Beach,0.982751957,1.0,8.6,"25.785034,-80.129455",6,Bar
Pane & Vino,Miami Beach,0.96835443,2.0,9.1,"25.785034,-80.129455",6,Restaurant
Starbucks,South Beach,0.992849551,1.0,8.2,"25.785034,-80.129455",6,Café
Byblos Miami,Miami Beach,0.985022708,4.0,8.6,"25.785034,-80.129455",6,Restaurant
Hosteria Romana,Miami Beach,0.969997101,3.0,8.6,"25.785034,-80.129455",6,Restaurant
Kill Your Idol,Miami Beach,0.94448739,1.0,8.2,"25.785034,-80.129455",6,Bar
Havana 1957,Miami Beach,0.975843077,2.0,7.8,"25.785034,-80.129455",6,Restaurant
Byblos Miami,Miami Beach,0.985022708,4.0,8.6,"25.7874891,-80.12955",1,Restaurant
Pane & Vino,Miami Beach,0.96835443,2.0,9.1,"25.7874891,-80.12955",1,Restaurant
La Sandwicherie,Miami Beach,0.988163108,1.0,9.1,"25.7874891,-80.12955",1,Restaurant
Starbucks,South Beach,0.992849551,1.0,8.2,"25.7874891,-80.12955",1,Café
Joe The Juice Miami,Miami Beach,0.980722775,1.0,8.6,"25.7874891,-80.12955",1,Café
Front Porch Cafe,Miami Beach,0.988646246,2.0,8.0,"25.7874891,-80.12955",1,Café
Hosteria Romana,Miami Beach,0.969997101,3.0,8.6,"25.7874891,-80.12955",1,Restaurant
Taquiza,Miami Beach,0.982751957,1.0,8.6,"25.7874891,-80.12955",1,Bar
Puerto Sagua Restaurant,Miami Beach,0.996328148,2.0,8.6,"25.776876,-80.133941",5,Restaurant
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.776876,-80.133941",5,Restaurant
Rosetta Bakery,Miami Beach,0.96985216,1.0,9.0,"25.776876,-80.133941",5,Bakery
Gelato-go South Beach,Miami Beach,0.976181274,1.0,8.7,"25.776876,-80.133941",5,Café
The Local House,Miami Beach,0.986133926,2.0,8.7,"25.776876,-80.133941",5,Restaurant
Fratelli La Bufala - Miami Beach,Miami Beach,0.969562277,2.0,8.2,"25.776876,-80.133941",5,Restaurant
Mango's Tropical Cafe,Miami Beach,0.998212388,2.0,8.4,"25.776876,-80.133941",5,Restaurant
A Fish Called Avalon,Miami Beach,0.974200406,4.0,8.0,"25.776876,-80.133941",5,Restaurant
Macchialina Taverna Rustica,Miami Beach,0.983573292,2.0,9.2,"25.776876,-80.133941",5,Restaurant
Puerto Sagua Restaurant,Miami Beach,0.996328148,2.0,8.6,"25.777061,-80.133155",0,Restaurant
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.777061,-80.133155",0,Restaurant
Rosetta Bakery,Miami Beach,0.96985216,1.0,9.0,"25.777061,-80.133155",0,Bakery
Gelato-go South Beach,Miami Beach,0.976181274,1.0,8.7,"25.777061,-80.133155",0,Café
The Local House,Miami Beach,0.986133926,2.0,8.7,"25.777061,-80.133155",0,Restaurant
Mango's Tropical Cafe,Miami Beach,0.998212388,2.0,8.4,"25.777061,-80.133155",0,Restaurant
A Fish Called Avalon,Miami Beach,0.974200406,4.0,8.0,"25.777061,-80.133155",0,Restaurant
Fratelli La Bufala - Miami Beach,Miami Beach,0.969562277,2.0,8.2,"25.777061,-80.133155",0,Restaurant
Macchialina Taverna Rustica,Miami Beach,0.983573292,2.0,9.2,"25.777061,-80.133155",0,Restaurant
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.77581,-80.135887",6,Restaurant
Puerto Sagua Restaurant,Miami Beach,0.996328148,2.0,8.6,"25.77581,-80.135887",6,Restaurant
Gelato-go South Beach,Miami Beach,0.976181274,1.0,8.7,"25.77581,-80.135887",6,Café
Fratelli La Bufala - Miami Beach,Miami Beach,0.969562277,2.0,8.2,"25.77581,-80.135887",6,Restaurant
The Local House,Miami Beach,0.986133926,2.0,8.7,"25.77581,-80.135887",6,Restaurant
Macchialina Taverna Rustica,Miami Beach,0.983573292,2.0,9.2,"25.77581,-80.135887",6,Restaurant
Rosetta Bakery,Miami Beach,0.96985216,1.0,9.0,"25.77581,-80.135887",6,Bakery
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.77581,-80.135887",6,Restaurant
Kalamata Mediterranean Cuisine,Miami Beach,0.964054498,2.0,7.9,"25.77581,-80.135887",6,Restaurant
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.775684,-80.137184",3,Restaurant
Macchialina Taverna Rustica,Miami Beach,0.983573292,2.0,9.2,"25.775684,-80.137184",3,Restaurant
Puerto Sagua Restaurant,Miami Beach,0.996328148,2.0,8.6,"25.775684,-80.137184",3,Restaurant
Gelato-go South Beach,Miami Beach,0.976181274,1.0,8.7,"25.775684,-80.137184",3,Café
Fratelli La Bufala - Miami Beach,Miami Beach,0.969562277,2.0,8.2,"25.775684,-80.137184",3,Restaurant
The Local House,Miami Beach,0.986133926,2.0,8.7,"25.775684,-80.137184",3,Restaurant
Estiatorio Milos by Costas Spiliadis,Miami Beach,0.973185815,3.0,9.0,"25.775684,-80.137184",3,Restaurant
Rosetta Bakery,Miami Beach,0.96985216,1.0,9.0,"25.775684,-80.137184",3,Bakery
Oliver's Bistro,Miami Beach,0.965358972,2.0,8.6,"25.775684,-80.137184",3,Restaurant
Call Me Gaby,Miami Beach,0.969127452,2.0,9.0,"25.775684,-80.137184",3,Restaurant
Las Olas Cafe,Miami Beach,0.977534061,1.0,8.6,"25.774795,-80.13842",7,Restaurant
Macchialina Taverna Rustica,Miami Beach,0.983573292,2.0,9.2,"25.774795,-80.13842",7,Restaurant
